station,easting,northing,elevation
"21503",536507.880,6383084.599,100.000
"21504",536517.825,6383083.556,100.000
"21505",536527.770,6383082.512,100.000
"21506",536537.716,6383081.468,100.000
"21507",536547.661,6383080.425,100.000
"21508",536557.606,6383079.381,100.000
"21509",536567.552,6383078.337,100.000
"21510",536577.497,6383077.293,100.000
"21511",536587.443,6383076.250,100.000
"21512",536597.388,6383075.206,100.000
"21513",536607.333,6383074.162,100.000
"21514",536617.279,6383073.118,100.000
"21515",536627.224,6383072.075,100.000
"21516",536637.170,6383071.031,100.000
"21517",536647.115,6383069.987,100.000
"21518",536657.060,6383068.943,100.000
"21519",536667.006,6383067.900,100.000
"21520",536676.951,6383066.856,100.000
"21521",536686.896,6383065.812,100.000
"21522",536696.842,6383064.768,100.000
"21523",536706.787,6383063.725,100.000
"21524",536716.733,6383062.681,100.000
"21525",536726.678,6383061.637,100.000
"21526",536736.623,6383060.593,100.000
"21527",536746.569,6383059.550,100.000
"21528",536756.514,6383058.506,100.000
"21529",536766.459,6383057.462,100.000
"21530",536776.405,6383056.418,100.000
"21531",536786.350,6383055.375,100.000
"21532",536796.296,6383054.331,100.000
"21533",536806.241,6383053.287,100.000
"21534",536816.186,6383052.243,100.000
"21535",536826.132,6383051.200,100.000
"21536",536836.077,6383050.156,100.000
"21537",536846.023,6383049.112,100.000
"21538",536855.968,6383048.068,100.000
"21539",536865.913,6383047.025,100.000
"21540",536875.859,6383045.981,100.000
"21541",536885.804,6383044.937,100.000
"21542",536895.749,6383043.894,100.000
"21543",536905.695,6383042.850,100.000
"21544",536915.640,6383041.806,100.000
"21545",536925.586,6383040.762,100.000
"21546",536935.531,6383039.719,100.000
"21547",536945.476,6383038.675,100.000
"21548",536955.422,6383037.631,100.000
"21549",536965.367,6383036.587,100.000
"21550",536975.312,6383035.544,100.000
"21551",536985.258,6383034.500,100.000
"21552",536995.203,6383033.456,100.000
"21553",537005.149,6383032.412,100.000
"21554",537015.094,6383031.369,100.000
"21555",537025.039,6383030.325,100.000
"21556",537034.985,6383029.281,100.000
"21557",537044.930,6383028.237,100.000
"21558",537054.876,6383027.194,100.000
"21559",537064.821,6383026.150,100.000
"21560",537074.766,6383025.106,100.000
"21561",537084.712,6383024.062,100.000
"21562",537094.657,6383023.019,100.000
"21563",537104.602,6383021.975,100.000
"21564",537114.548,6383020.931,100.000
"21565",537124.493,6383019.887,100.000
"21566",537134.439,6383018.844,100.000
"21567",537144.384,6383017.800,100.000
"21568",537154.329,6383016.756,100.000
"21569",537164.275,6383015.712,100.000
"21570",537174.220,6383014.669,100.000
"21571",537184.165,6383013.625,100.000
"21572",537194.111,6383012.581,100.000
"21573",537204.056,6383011.537,100.000
"21574",537214.002,6383010.494,100.000
"21575",537223.947,6383009.450,100.000
"21576",537233.892,6383008.406,100.000
"21577",537243.838,6383007.363,100.000
"21578",537253.783,6383006.319,100.000
"21579",537263.729,6383005.275,100.000
"21580",537273.674,6383004.231,100.000
"21581",537283.619,6383003.188,100.000
"21582",537293.565,6383002.144,100.000
"21583",537303.510,6383001.100,100.000
"21584",537313.455,6383000.056,100.000
"21585",537323.401,6382999.013,100.000
"21586",537333.346,6382997.969,100.000
"21587",537343.292,6382996.925,100.000
"21588",537353.237,6382995.881,100.000
"21589",537363.182,6382994.838,100.000
"21590",537373.128,6382993.794,100.000
"21591",537383.073,6382992.750,100.000
"21592",537393.018,6382991.706,100.000
"21593",537402.964,6382990.663,100.000
"21594",537412.909,6382989.619,100.000
"21595",537422.855,6382988.575,100.000
"21596",537432.800,6382987.531,100.000
"21597",537442.745,6382986.488,100.000
"21598",537452.691,6382985.444,100.000
"21599",537462.636,6382984.400,100.000
"21600",537472.581,6382983.356,100.000
"21601",537482.527,6382982.313,100.000
"21602",537492.472,6382981.269,100.000
"21603",537502.418,6382980.225,100.000
"21604",537512.363,6382979.181,100.000
"21605",537522.308,6382978.138,100.000
"21606",537532.254,6382977.094,100.000
"21607",537542.199,6382976.050,100.000
"21608",537552.145,6382975.006,100.000
"21609",537562.090,6382973.963,100.000
"21610",537572.035,6382972.919,100.000
"21611",537581.981,6382971.875,100.000
"21612",537591.926,6382970.832,100.000
"21613",537601.871,6382969.788,100.000
"21614",537611.817,6382968.744,100.000
"21615",537621.762,6382967.700,100.000
"21616",537631.708,6382966.657,100.000
"21617",537641.653,6382965.613,100.000
"21618",537651.598,6382964.569,100.000
"21619",537661.544,6382963.525,100.000
"21620",537671.489,6382962.482,100.000
"21621",537681.434,6382961.438,100.000
"21622",537691.380,6382960.394,100.000
"21623",537701.325,6382959.350,100.000
"21624",537711.271,6382958.307,100.000
"21625",537721.216,6382957.263,100.000
"21626",537731.161,6382956.219,100.000
"21627",537741.107,6382955.175,100.000
"21628",537751.052,6382954.132,100.000
"21629",537760.998,6382953.088,100.000
"21630",537770.943,6382952.044,100.000
"21631",537780.888,6382951.000,100.000
"21632",537790.834,6382949.957,100.000
"21633",537800.779,6382948.913,100.000
"21634",537810.724,6382947.869,100.000
"21635",537820.670,6382946.825,100.000
"21636",537830.615,6382945.782,100.000
"21637",537840.561,6382944.738,100.000
"21638",537850.506,6382943.694,100.000
"21639",537860.451,6382942.650,100.000
"21640",537870.397,6382941.607,100.000
"21641",537880.342,6382940.563,100.000
"21642",537890.287,6382939.519,100.000
"21643",537900.233,6382938.475,100.000
"21644",537910.178,6382937.432,100.000
"21645",537920.124,6382936.388,100.000
"21646",537930.069,6382935.344,100.000
"21647",537940.014,6382934.301,100.000
"21648",537949.960,6382933.257,100.000
"21649",537959.905,6382932.213,100.000
"21650",537969.851,6382931.169,100.000
"21651",537979.796,6382930.126,100.000
"21652",537989.741,6382929.082,100.000
"21653",537999.687,6382928.038,100.000
