Filename	Latitude	Longitude
Line 1_Albert Rd NE to SW_GRMN0813_frame_001709_sec_0_00_57.jpg	-32.388598252169785	147.46830983701997
Line 1_Albert Rd NE to SW_GRMN0813_frame_001739_sec_0_00_58.jpg	-32.38872779817138	147.4681199648685
Line 1_Albert Rd NE to SW_GRMN0813_frame_001769_sec_0_00_59.jpg	-32.38885734417297	147.46793009271704
Line 1_Albert Rd NE to SW_GRMN0813_frame_001799_sec_0_01_00.jpg	-32.38898689017456	147.46774022056556
Line 1_Albert Rd NE to SW_GRMN0814_frame_000000_sec_0_00_00.jpg	-32.3889809288085	147.46774979867
Line 1_Albert Rd NE to SW_GRMN0814_frame_000030_sec_0_00_01.jpg	-32.38910678392274	147.46755472186055
Line 1_Albert Rd NE to SW_GRMN0814_frame_000060_sec_0_00_02.jpg	-32.38923345191403	147.46735695730902
Line 1_Albert Rd NE to SW_GRMN0814_frame_000090_sec_0_00_03.jpg	-32.389347467590106	147.4671564496121
Line 1_Albert Rd NE to SW_GRMN0814_frame_000120_sec_0_00_04.jpg	-32.389458726123	147.46696260184063
Line 1_Albert Rd NE to SW_GRMN0814_frame_000150_sec_0_00_05.jpg	-32.389570833742575	147.46676073158204
Line 1_Albert Rd NE to SW_GRMN0814_frame_000180_sec_0_00_06.jpg	-32.3896855947375	147.4665588246097
Line 1_Albert Rd NE to SW_GRMN0814_frame_000210_sec_0_00_07.jpg	-32.38979732927869	147.46635080362708
Line 1_Albert Rd NE to SW_GRMN0814_frame_000240_sec_0_00_08.jpg	-32.38990567065774	147.46613916367332
Line 1_Albert Rd NE to SW_GRMN0814_frame_000270_sec_0_00_09.jpg	-32.390016821566924	147.46593334998025
Line 1_Albert Rd NE to SW_GRMN0814_frame_000300_sec_0_00_10.jpg	-32.390125701483335	147.46572750443593
Line 1_Albert Rd NE to SW_GRMN0814_frame_000330_sec_0_00_11.jpg	-32.39023198057898	147.4655184904486
Line 1_Albert Rd NE to SW_GRMN0814_frame_000360_sec_0_00_12.jpg	-32.390335973426716	147.46530845604877
Line 1_Albert Rd NE to SW_GRMN0814_frame_000390_sec_0_00_13.jpg	-32.39044304109183	147.46510318608955
Line 1_Albert Rd NE to SW_GRMN0814_frame_000420_sec_0_00_14.jpg	-32.39055071191858	147.46489460594935
Line 1_Albert Rd NE to SW_GRMN0814_frame_000450_sec_0_00_15.jpg	-32.39065999835732	147.46468620258344
Line 1_Albert Rd NE to SW_GRMN0814_frame_000480_sec_0_00_16.jpg	-32.39076665975152	147.46447865031672
Line 1_Albert Rd NE to SW_GRMN0814_frame_000510_sec_0_00_17.jpg	-32.39086950344037	147.46427766166633
Line 1_Albert Rd NE to SW_GRMN0814_frame_000540_sec_0_00_18.jpg	-32.39097598219289	147.46407418308775
Line 1_Albert Rd NE to SW_GRMN0814_frame_000570_sec_0_00_19.jpg	-32.39108293385246	147.4638653807434
Line 1_Albert Rd NE to SW_GRMN0814_frame_000600_sec_0_00_20.jpg	-32.39119721967725	147.46365823633988
Line 1_Albert Rd NE to SW_GRMN0814_frame_000630_sec_0_00_21.jpg	-32.39130798962894	147.46345170272542
Line 1_Albert Rd NE to SW_GRMN0814_frame_000660_sec_0_00_22.jpg	-32.39142350172622	147.46324676401886
Line 1_Albert Rd NE to SW_GRMN0814_frame_000690_sec_0_00_23.jpg	-32.391537865251294	147.4630398710724
Line 1_Albert Rd NE to SW_GRMN0814_frame_000720_sec_0_00_24.jpg	-32.39164522871374	147.4628404992077
Line 1_Albert Rd NE to SW_GRMN0814_frame_000750_sec_0_00_25.jpg	-32.391751265153296	147.46263692155503
Line 1_Albert Rd NE to SW_GRMN0814_frame_000780_sec_0_00_26.jpg	-32.3918567321263	147.46243232717705
Line 1_Albert Rd NE to SW_GRMN0814_frame_000810_sec_0_00_27.jpg	-32.391965488158164	147.4622326653825
Line 1_Albert Rd NE to SW_GRMN0814_frame_000840_sec_0_00_28.jpg	-32.39207770675421	147.46203675046573
Line 1_Albert Rd NE to SW_GRMN0814_frame_000870_sec_0_00_29.jpg	-32.39218265580941	147.46183203966308
Line 1_Albert Rd NE to SW_GRMN0814_frame_000900_sec_0_00_30.jpg	-32.39229016620665	147.461627957504
Line 1_Albert Rd NE to SW_GRMN0814_frame_000930_sec_0_00_31.jpg	-32.392403825651876	147.46143097775075
Line 1_Albert Rd NE to SW_GRMN0814_frame_000960_sec_0_00_32.jpg	-32.39250871494411	147.46123216554557
Line 1_Albert Rd NE to SW_GRMN0814_frame_000990_sec_0_00_33.jpg	-32.39261397337542	147.46103457064373
Line 1_Albert Rd NE to SW_GRMN0814_frame_001019_sec_0_00_34.jpg	-32.392716976993746	147.46084583289908
Line 1_Albert Rd NE to SW_GRMN0814_frame_001049_sec_0_00_35.jpg	-32.39282177014837	147.4606444538729
Line 1_Albert Rd NE to SW_GRMN0814_frame_001079_sec_0_00_36.jpg	-32.392925657769624	147.46043561923588
Line 1_Albert Rd NE to SW_GRMN0814_frame_001109_sec_0_00_37.jpg	-32.39303555040435	147.4602266345936
Line 1_Albert Rd NE to SW_GRMN0814_frame_001139_sec_0_00_38.jpg	-32.39313991273469	147.46002239602535
Line 1_Albert Rd NE to SW_GRMN0814_frame_001169_sec_0_00_39.jpg	-32.3932415563893	147.45981407138504
Line 1_Albert Rd NE to SW_GRMN0814_frame_001199_sec_0_00_40.jpg	-32.39334977827877	147.45960678352807
Line 1_Albert Rd NE to SW_GRMN0814_frame_001229_sec_0_00_41.jpg	-32.39345610494451	147.4593923988615
Line 1_Albert Rd NE to SW_GRMN0814_frame_001259_sec_0_00_42.jpg	-32.393565303076976	147.45918724698367
Line 1_Albert Rd NE to SW_GRMN0814_frame_001289_sec_0_00_43.jpg	-32.39367915359321	147.45898102992564
Line 1_Albert Rd NE to SW_GRMN0814_frame_001319_sec_0_00_44.jpg	-32.3937923823344	147.4587764284295
Line 1_Albert Rd NE to SW_GRMN0814_frame_001349_sec_0_00_45.jpg	-32.39390190578256	147.45856754153414
Line 1_Albert Rd NE to SW_GRMN0814_frame_001379_sec_0_00_46.jpg	-32.39401399469652	147.45836136868505
Line 1_Albert Rd NE to SW_GRMN0814_frame_001409_sec_0_00_47.jpg	-32.39412561568242	147.45815978538354
Line 1_Albert Rd NE to SW_GRMN0814_frame_001439_sec_0_00_48.jpg	-32.39423334203664	147.45794866323564
